FirstName,LastName,SamAccountName,Description,Manager,TargetOUPath
Kathryn,Janeway,kjaneway,"Dean of Sciences","wadama","OU=Sciences,OU=Faculty,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Beverly,Crusher,bcrusher,"Dean of Health Sciences","wadama","OU=Health,OU=Faculty,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
William,Riker,wriker,"Dean of Technology","wadama","OU=Technology,OU=Faculty,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Ezri,Dax,edax,"Dean of Arts","wadama","OU=Arts,OU=Faculty,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Martok,SonOfUrthog,msonofurthog,"Dean of Business","wadama","OU=Business,OU=Faculty,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Gaius,Baltar,gbaltar,"Professor, Computer Science","wriker","OU=Technology,OU=Faculty,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Kara,Thrace,kthrace,"Instructor, Aerospace Sim","wriker","OU=Technology,OU=Faculty,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Spock,SonOfSarek,ssonofsarek,"Professor, Logic & Physics","kjaneway","OU=Sciences,OU=Faculty,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Leonard,McCoy,lmccoy,"Professor, Medicine","bcrusher","OU=Health,OU=Faculty,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Montgomery,Scott,mscott,"Professor, Engineering","wriker","OU=Technology,OU=Faculty,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Nyota,Uhura,nuhura,"Professor, Communications","edax","OU=Arts,OU=Faculty,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Hikaru,Sulu,hsulu,"Lecturer, Botany","kjaneway","OU=Sciences,OU=Faculty,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Pavel,Chekov,pchekov,"Associate Professor, Navigation","wriker","OU=Technology,OU=Faculty,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Christine,Chapel,cchapel,"Instructor, Nursing","bcrusher","OU=Health,OU=Faculty,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Julian,Bashir,jbashir,"Assistant Professor, Genetics","bcrusher","OU=Health,OU=Faculty,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Zefram,Cochrane,zcochrane,"Professor Emeritus, Warp Dynamics","kjaneway","OU=Sciences,OU=Faculty,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Leah,Brahms,lbrahms,"Associate Professor, Propulsion Systems","wriker","OU=Technology,OU=Faculty,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Guinan,ElAurian,gelaurian,"Professor, Cultural Anthropology","edax","OU=Arts,OU=Faculty,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Lwaxana,Troi,ltroi,"Lecturer, Diplomacy","edax","OU=Arts,OU=Faculty,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Brunt,FCA,bfca,"Professor, Commerce","msonofurthog","OU=Business,OU=Faculty,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Ishka,Femme,ifemme,"Associate Professor, Economics","msonofurthog","OU=Business,OU=Faculty,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Phlox,Denobulan,pdenobulan,"Professor, Comparative Xenophysiology","bcrusher","OU=Health,OU=Faculty,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Hoshi,Sato,hsato,"Instructor, Xenolinguistics","edax","OU=Arts,OU=Faculty,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Malcolm,Reed,mreed,"Instructor, Tactical Systems","wriker","OU=Technology,OU=Faculty,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Travis,Mayweather,tmayweather,"Lecturer, Stellar Cartography","kjaneway","OU=Sciences,OU=Faculty,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
