FirstName,LastName,SamAccountName,Description,Manager,TargetOUPath
Jean-Luc,Picard,jpicard,"President","TODO","OU=Administration,OU=Staff,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
William,Adama,wadama,"VP Operations","jpicard","OU=Administration,OU=Staff,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Laura,Roslin,lroslin,"Director of Admissions","wadama","OU=Admissions,OU=Staff,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Saul,Tigh,stigh,"Facilities Manager","wadama","OU=Facilities,OU=Staff,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Miles,O'Brien,mobrien,"Lead Maintenance Engineer","stigh","OU=Facilities,OU=Staff,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Anastasia,Dualla,adualla,"Admissions Counselor","lroslin","OU=Admissions,OU=Staff,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Geordi,La Forge,glaforge,"IT Director","wadama","OU=IT,OU=Staff,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Reginald,Barclay,rbarclay,"Systems Administrator","glaforge","OU=IT,OU=Staff,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Samantha,Carter,scarter,"Network Engineer","glaforge","OU=IT,OU=Staff,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Daniel,Jackson,djackson,"Help Desk Technician","glaforge","OU=IT,OU=Staff,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Ellen,Tigh,etigh,"HR Director","wadama","OU=HR,OU=Staff,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Deanna,Troi,dtroi,"HR Specialist - Benefits","etigh","OU=HR,OU=Staff,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Felix,Gaeta,fgaeta,"HR Generalist","etigh","OU=HR,OU=Staff,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Quark,SonOfKeldar,qsonofkeldar,"Finance Director","wadama","OU=Finance,OU=Staff,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Rom,SonOfKeldar,rsonofkeldar,"Accountant","qsonofkeldar","OU=Finance,OU=Staff,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Nog,SonOfRom,nsonofrom,"Junior Accountant","rsonofkeldar","OU=Finance,OU=Staff,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Galen,Tyrol,gtyrol,"Grounds Crew Lead","stigh","OU=Facilities,OU=Staff,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Cally,Henderson,chenderson,"Custodian","stigh","OU=Facilities,OU=Staff,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Kira,Nerys,knerys,"Executive Assistant to VP Ops","wadama","OU=Administration,OU=Staff,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Benjamin,Sisko,bsisko,"Campus Security Chief","wadama","OU=Administration,OU=Staff,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Jadzia,Dax,jdax,"Data Analyst - Admissions","lroslin","OU=Admissions,OU=Staff,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Tuvok,Vulcan,tvulcan,"IT Security Specialist","glaforge","OU=IT,OU=Staff,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Neelix,Talaxian,ntalaxian,"Campus Morale Officer","etigh","OU=HR,OU=Staff,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Elim,Garak,egarak,"Procurement Specialist","qsonofkeldar","OU=Finance,OU=Staff,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Kasidy,Yates,kyates,"Logistics Coordinator","stigh","OU=Facilities,OU=Staff,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
