FirstName,LastName,SamAccountName,Description,TargetOUPath
JeanLuc,Picardstudent,jpicardstudent,"Undergraduate Student","OU=Undergraduate,OU=Students,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Dana,Scully,dscully,"Graduate Student","OU=Graduate,OU=Students,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Fox,Mulder,fmulder,"Undergraduate Student","OU=Undergraduate,OU=Students,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Buffy,Summers,bsummers,"Undergraduate Student","OU=Undergraduate,OU=Students,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Willow,Rosenberg,wrosenberg,"Graduate Student","OU=Graduate,OU=Students,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Xander,Harris,xharris,"Undergraduate Student","OU=Undergraduate,OU=Students,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Malcolm,Reynolds,mreynolds,"Continuing Education Student","OU=ContinuingEducation,OU=Students,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Zoe,Washburne,zwashburne,"Graduate Student","OU=Graduate,OU=Students,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Hoban,Washburne,hwashburne,"Undergraduate Student","OU=Undergraduate,OU=Students,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Inara,Serra,iserra,"Undergraduate Student","OU=Undergraduate,OU=Students,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Jayne,Cobb,jcobb,"Undergraduate Student","OU=Undergraduate,OU=Students,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Kaylee,Frye,kfrye,"Undergraduate Student","OU=Undergraduate,OU=Students,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Simon,Tam,stam,"Graduate Student","OU=Graduate,OU=Students,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
River,Tam,rtam,"Undergraduate Student","OU=Undergraduate,OU=Students,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Shepherd,Book,sbook,"Continuing Education Student","OU=ContinuingEducation,OU=Students,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Turanga,Leela,tleela,"Undergraduate Student","OU=Undergraduate,OU=Students,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Philip,Fry,pfry,"Undergraduate Student","OU=Undergraduate,OU=Students,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Bender,Rodriguez,brodriguez,"Undergraduate Student","OU=Undergraduate,OU=Students,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Amy,Wong,awong,"Undergraduate Student","OU=Undergraduate,OU=Students,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Hermes,Conrad,hconrad,"Undergraduate Student","OU=Undergraduate,OU=Students,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Hubert,Farnsworth,hfarnsworth,"Graduate Student","OU=Graduate,OU=Students,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
John,Zoidberg,jzoidberg,"Undergraduate Student","OU=Undergraduate,OU=Students,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Rick,Sanchez,rsanchez,"Undergraduate Student","OU=Undergraduate,OU=Students,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Morty,Smith,msmith,"Undergraduate Student","OU=Undergraduate,OU=Students,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Summer,Smith,ssmith,"Undergraduate Student","OU=Undergraduate,OU=Students,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Beth,Smith,bsmith,"Undergraduate Student","OU=Undergraduate,OU=Students,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Jerry,Smith,jsmith,"Undergraduate Student","OU=Undergraduate,OU=Students,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Fox,Mulder,fmulder1,"Graduate Student","OU=Graduate,OU=Students,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
Dana,Scully,dscully1,"Undergraduate Student","OU=Undergraduate,OU=Students,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
JeanLuc,Picardstudent,jpicardstudent1,"Undergraduate Student","OU=Undergraduate,OU=Students,OU=Users,OU=_CampusAccounts,DC=sharpe,DC=com"
